,code,2020pointsR1,2020pointsR2,2020EOS
0,AC120,209.0,,209
1,AC137,252.0,,252
2,AD101,,,#+matric
3,AD102,,,#+matric
4,AD103,,,#+matric
5,AD202,,,#+matric
6,AD204,,,#+matric
7,AD211,,,#+matric
8,AD212,,,#+matric
9,AD215,377.0,320,320
10,AD217,,,#+matric
11,AD222,,,#+matric
12,AL600,,,104
13,AL601,,219,112
14,AL602,,,260
15,AL604,,AQA,AQA
16,AL605,,AQA,154
17,AL630,295.0,,295
18,AL631,300.0,298,298
19,AL632,234.0,,234
20,AL650,207.0,,207
21,AL660,,AQA,112
22,AL661,,AQA,101
23,AL663,,AQA,120
24,AL701,216.0,,216
25,AL702,214.0,,214
26,AL703,216.0,,224
27,AL704,204.0,,204
28,AL705,216.0,,216
29,AL710,223.0,,223
30,AL711,228.0,,228
31,AL712,252.0,,252
32,AL713,218.0,,218
33,AL718,214.0,,216
34,AL721,233.0,,233
35,AL730,250.0,,250
36,AL731,400.0,,400
37,AL734,244.0,,244
38,AL740,250.0,,250
39,AL751,241.0,,241
40,AL752,225.0,,225
41,AL761,208.0,,208
42,AL763,781.0,,781
43,AL764,260.0,,260
44,AL765,280.0,,280
45,AL801,303.0,,303
46,AL802,332.0,,332
47,AL803,337.0,,337
48,AL805,333.0,,333
49,AL810,319.0,,326
50,AL811,320.0,,320
51,AL820,308.0,,308
52,AL830,442.0,,442
53,AL832,387.0,384,384
54,AL836,334.0,,334
55,AL837,351.0,,351
56,AL838,307.0,,307
57,AL839,325.0,,325
58,AL840,347.0,,347
59,AL841,430.0,,430
60,AL842,313.0,,313
61,AL843,306.0,,306
62,AL850,309.0,,309
63,AL851,295.0,,295
64,AL852,309.0,,309
65,AL854,302.0,299,299
66,AL855,308.0,,308
67,AL857,304.0,,304
68,AL860,300.0,,300
69,AL861,578.0,,578
70,AL863,781.0,,781
71,AL864,307.0,,307
72,AL870,418.0,,418
73,AS001,510.0,,518
74,AS002,441.0,434,434
75,AS003,440.0,440,440
76,AS051,328.0,317,317
77,AS054,408.0,398,398
78,AS110,419.0,,419
79,AS130,336.0,328,317
80,CI001,300.0,,300
81,CI002,309.0,,309
82,CI005,306.0,302,302
83,CI110,310.0,,310
84,CI111,301.0,,301
85,CI112,311.0,,311
86,CK101,300.0,,300
87,CK102,412.0,,412
88,CK104,302.0,,302
89,CK105,368.0,337,319
90,CK107,328.0,,328
91,CK108,401.0,,401
92,CK109,318.0,,318
93,CK110,452.0,433,410
94,CK111,419.0,,419
95,CK112,330.0,,330
96,CK113,423.0,,423
97,CK114,,,777
98,CK115,,,999
99,CK118,336.0,,336
100,CK120,533.0,532,531
101,CK121,466.0,,466
102,CK122,337.0,328,326
103,CK123,308.0,,308
104,CK124,463.0,462,452
105,CK125,510.0,509,509
106,CK201,477.0,,477
107,CK202,509.0,,509
108,CK203,430.0,,430
109,CK204,556.0,,556
110,CK205,445.0,,445
111,CK206,420.0,418,418
112,CK207,388.0,,388
113,CK208,402.0,,402
114,CK209,484.0,,484
115,CK211,397.0,,397
116,CK212,444.0,,444
117,CK213,462.0,,462
118,CK214,346.0,,346
119,CK301,507.0,499,498
120,CK302,542.0,,542
121,CK304,540.0,,540
122,CK307,556.0,,556
123,CK401,468.0,,468
124,CK402,510.0,509,509
125,CK404,467.0,,465
126,CK405,487.0,,487
127,CK406,485.0,472,462
128,CK407,566.0,565,565
129,CK408,554.0,542,531
130,CK409,432.0,,432
131,CK411,510.0,,509
132,CK412,496.0,496,489
133,CK504,518.0,,517
134,CK505,441.0,440,420
135,CK600,487.0,,487
136,CK606,484.0,476,469
137,CK701,731.0,,731
138,CK702,613.0,613,613
139,CK703,590.0,589,589
140,CK704,566.0,555,555
141,CK705,520.0,,520
142,CK706,454.0,,454
143,CK707,542.0,541,541
144,CK710,454.0,,454
145,CK712,533.0,,533
146,CK720,423.0,,419
147,CK730,419.0,411,400
148,CK740,484.0,,473
149,CK791,57.0,,57
150,CM001,484.0,,484
151,CM002,,,
152,CM003,528.0,,528
153,CM004,494.0,,494
154,CM010,319.0,,317
155,CM020,327.0,,327
156,CR001,250.0,,250
157,CR006,361.0,,361
158,CR007,240.0,,240
159,CR010,321.0,,321
160,CR016,307.0,,307
161,CR021,255.0,,255
162,CR022,190.0,,190
163,CR031,346.0,,346
164,CR032,298.0,,298
165,CR035,100.0,,100
166,CR041,216.0,,216
167,CR042,208.0,,208
168,CR046,216.0,,216
169,CR051,248.0,,248
170,CR052,251.0,,251
171,CR053,308.0,,308
172,CR055,258.0,,258
173,CR061,260.0,,260
174,CR062,300.0,,300
175,CR071,261.0,,261
176,CR075,306.0,,306
177,CR090,266.0,,266
178,CR094,243.0,,243
179,CR095,255.0,,255
180,CR105,443.0,,443
181,CR106,411.0,,411
182,CR108,434.0,,434
183,CR109,394.0,,394
184,CR110,311.0,,311
185,CR112,361.0,,361
186,CR116,332.0,,332
187,CR121,868.0,,912
188,CR125,1088.0,,1088
189,CR126,801.0,,801
190,CR127,838.0,768,768
191,CR128,840.0,,840
192,CR129,841.0,,841
193,CR130,548.0,518,505
194,CR150,335.0,,335
195,CR210,,,#+matric
196,CR220,,,#+matric
197,CR225,,,#+matric
198,CR300,282.0,,282
199,CR305,282.0,,282
200,CR310,297.0,,297
201,CR320,565.0,,565
202,CR325,398.0,,398
203,CR333,402.0,,402
204,CR335,420.0,,420
205,CR340,251.0,,251
206,CR360,261.0,,261
207,CR365,253.0,,253
208,CR370,397.0,,397
209,CR400,316.0,,316
210,CR420,285.0,,285
211,CR425,298.0,,298
212,CR430,322.0,,322
213,CR440,288.0,,288
214,CR500,411.0,,411
215,CR510,320.0,,320
216,CR520,444.0,,444
217,CR560,308.0,,308
218,CR565,359.0,,359
219,CR570,336.0,,336
220,CR572,269.0,,269
221,CR580,318.0,,318
222,CR590,303.0,,303
223,CR600,,,#+matric
224,CR620,365.0,357,357
225,CR640,244.0,,244
226,CR650,209.0,,209
227,CR655,189.0,,189
228,CR657,180.0,163,163
229,CR660,252.0,,252
230,CR700,740.0,645,645
231,CR805,235.0,,235
232,CR888,290.0,,290
233,CT110,210.0,,210
234,CT116,219.0,,219
235,CT125,220.0,,220
236,CT325,338.0,,281
237,CW006,,AQA,AQA
238,CW018,298.0,248,248
239,CW027,266.0,,268
240,CW028,252.0,,252
241,CW037,195.0,,195
242,CW038,700.0,,700
243,CW047,214.0,181,181
244,CW057,700.0,,700
245,CW058,298.0,,298
246,CW068,245.0,,245
247,CW077,217.0,,217
248,CW078,269.0,,269
249,CW088,274.0,,274
250,CW106,451.0,,451
251,CW107,277.0,,277
252,CW108,261.0,,261
253,CW116,250.0,,250
254,CW117,205.0,,205
255,CW126,191.0,,191
256,CW128,263.0,,263
257,CW138,423.0,,423
258,CW148,379.0,,379
259,CW188,451.0,448,448
260,CW206,235.0,,235
261,CW207,244.0,,244
262,CW208,279.0,,279
263,CW217,234.0,,234
264,CW227,233.0,,242
265,CW237,212.0,,212
266,CW238,297.0,,297
267,CW248,285.0,,285
268,CW258,293.0,,293
269,CW268,287.0,,287
270,CW407,188.0,,188
271,CW417,220.0,,220
272,CW427,199.0,,199
273,CW438,272.0,,272
274,CW468,262.0,,262
275,CW478,433.0,,433
276,CW507,293.0,,294
277,CW517,276.0,,276
278,CW527,227.0,,227
279,CW547,301.0,,301
280,CW548,321.0,,321
281,CW558,280.0,,280
282,CW568,380.0,,380
283,CW578,325.0,,325
284,CW706,163.0,,163
285,CW707,207.0,,207
286,CW708,302.0,,302
287,CW717,288.0,,288
288,CW728,252.0,,252
289,CW748,270.0,,270
290,CW758,336.0,,336
291,CW807,700.0,,700
292,CW808,251.0,,251
293,CW817,700.0,,700
294,CW827,700.0,,700
295,CW837,200.0,,200
296,CW848,254.0,,269
297,CW858,700.0,,700
298,CW906,177.0,,177
299,CW908,280.0,,280
300,CW917,224.0,,224
301,CW926,210.0,,210
302,CW936,231.0,,231
303,CW938,283.0,,283
304,CW948,300.0,,300
305,DB500,218.0,218,218
306,DB501,227.0,227,227
307,DB502,341.0,341,334
308,DB503,225.0,225,225
309,DB504,,281,281
310,DB510,234.0,223,223
311,DB512,218.0,203,203
312,DB514,252.0,,251
313,DB515,244.0,244,244
314,DB516,,,
315,DB517,238.0,,238
316,DB521,225.0,195,195
317,DB524,342.0,309,309
318,DB526,347.0,,347
319,DB527,234.0,260,234
320,DB528,,AQA,AQA
321,DB531,293.0,,293
322,DB534,,AQA,AQA
323,DB562,243.0,229,229
324,DB563,161.0,189,161
325,DB566,220.0,227,220
326,DB567,218.0,202,202
327,DB568,219.0,252,217
328,DB569,252.0,,252
329,DB571,173.0,211,122
330,DB572,119.0,117,117
331,DB573,117.0,146,117
332,DB574,136.0,388,136
333,DB576,,AQA,AQA
334,DC001,440.0,,440
335,DC002,488.0,,488
336,DC003,445.0,,445
337,DC004,411.0,409,409
338,DC009,376.0,,376
339,DC010,441.0,429,429
340,DC011,412.0,391,391
341,DC012,378.0,,378
342,DC013,419.0,,419
343,DC014,419.0,,419
344,DC110,465.0,,465
345,DC111,488.0,,488
346,DC112,517.0,510,510
347,DC113,462.0,,462
348,DC114,522.0,,522
349,DC115,510.0,,510
350,DC116,579.0,,579
351,DC117,476.0,475,475
352,DC118,359.0,,359
353,DC119,564.0,,564
354,DC120,357.0,,357
355,DC121,400.0,,400
356,DC123,465.0,,465
357,DC126,560.0,,560
358,DC127,532.0,520,520
359,DC131,407.0,402,402
360,DC132,429.0,422,422
361,DC133,411.0,410,410
362,DC155,387.0,,387
363,DC161,498.0,489,489
364,DC162,521.0,,521
365,DC166,433.0,399,399
366,DC168,512.0,510,510
367,DC175,419.0,402,402
368,DC181,499.0,495,495
369,DC190,413.0,,413
370,DC193,411.0,,411
371,DC195,425.0,,425
372,DC197,423.0,,423
373,DC200,422.0,,422
374,DC201,498.0,488,488
375,DC202,500.0,498,498
376,DC203,435.0,,435
377,DC204,522.0,519,519
378,DC205,531.0,,531
379,DC206,499.0,,499
380,DC208,532.0,521,521
381,DC209,465.0,440,440
382,DC215,454.0,433,433
383,DC216,418.0,403,403
384,DC217,370.0,,370
385,DC218,500.0,498,498
386,DC230,435.0,,435
387,DC231,397.0,,397
388,DC232,466.0,,466
389,DC235,309.0,,309
390,DC238,377.0,,377
391,DC239,430.0,,430
392,DC240,476.0,474,474
393,DC291,376.0,,376
394,DC292,403.0,,403
395,DC293,377.0,,377
396,DC295,376.0,,376
397,DK710,120.0,120,120
398,DK711,191.0,,191
399,DK712,100.0,100,100
400,DK721,106.0,106,106
401,DK722,144.0,144,144
402,DK730,165.0,,165
403,DK731,332.0,,332
404,DK732,120.0,,120
405,DK740,179.0,179,179
406,DK742,166.0,166,166
407,DK744,190.0,157,157
408,DK750,176.0,176,176
409,DK752,175.0,175,175
410,DK753,182.0,182,182
411,DK763,233.0,,225
412,DK767,240.0,240,240
413,DK768,261.0,,261
414,DK769,165.0,165,165
415,DK770,190.0,190,190
416,DK771,,,
417,DK781,358.0,328,208
418,DK783,349.0,317,210
419,DK784,399.0,,399
420,DK810,305.0,305,305
421,DK816,300.0,300,300
422,DK820,311.0,311,311
423,DK821,302.0,302,302
